新聞綜合,#genre#
華視新聞,https://www.youtube.com/live/wM0g8EoUZ_E?si=JFl6mx4CYiFgmfTi
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
非凡新聞,http://125.227.210.55:28993/VideoInput/play.ts
壹新闻 HD,https://iptv543.com/xsj/xsj.php?id=nexttv
衛視電影,http://211.23.114.106:8525/http/116.50.42.19:8081/hls/64/806/ch16.m3u8
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
八大綜合,http://211.23.114.106:8520/http/61.221.81.94:8088/hls/66/808/ch21.m3u8
東森幼幼,http://211.23.114.106:8515/http/61.221.81.94:8088/hls/63/805/ch09.m3u8
緯來綜合,http://211.23.114.106:8518/http/61.221.81.94:8088/hls/68/810/ch32.m3u8
八大第一,http://211.23.114.106:8536/http/61.221.81.94:8088/hls/66/808/ch22.m3u8
八大綜合,http://211.23.114.106:8520/http/61.221.81.94:8088/hls/66/808/ch21.m3u8
三立台灣,http://211.23.114.106:8521/http/60.251.39.91:8081/hls/65/807/ch20.m3u8
台視,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/72/814/ch46.m3u8
中視,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/72/814/ch47.m3u8
華視,http://211.23.114.106:8503/http/61.221.81.94:8088/hls/72/814/ch48.m3u8
民視,http://211.23.114.106:8504/http/61.221.81.94:8088/hls/73/815/ch49.m3u8
公視,http://211.23.114.106:8505/http/61.221.81.94:8088/hls/73/815/ch50.m3u8
人間衛視,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/69/811/ch36.m3u8
東森綜合,http://211.23.114.106:8524/http/60.251.39.91:8081/hls/63/805/ch12.m3u8
東森超視,http://211.23.114.106:8525/http/60.251.39.91:8081/hls/64/806/ch14.m3u8
中天綜合,http://211.23.114.106:8526/http/60.251.39.91:8081/hls/67/809/ch25.m3u8
中天娛樂,http://211.23.114.106:8527/http/60.251.39.91:8081/hls/67/809/ch26.m3u8
年代MUCH,http://211.23.114.106:8529/http/60.251.39.91:8081/hls/72/814/ch45.m3u8
東森戲劇,http://211.23.114.106:8530/http/60.251.39.91:8081/hls/64/806/ch13.m3u8
八大戲劇,http://211.23.114.106:8531/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
緯來戲劇,http://211.23.114.106:8533/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
WAKUWAKU JAPAN,http://211.23.114.106:8538/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
HBO,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
東森新聞,http://211.23.114.106:8540/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
台視,http://8.210.207.87/jd.php?id=live1047
中視,http://8.210.207.87/jd.php?id=live1048
華視,http://8.210.207.87/jd.php?id=live1049
民視,http://8.210.207.87/jd.php?id=live1050
公視,http://8.210.207.87/jd.php?id=live1201
人間衛視,http://8.210.207.87/jd.php?id=live1198
大愛電視,http://8.210.207.87/jd.php?id=live1216
好消息頻道,http://8.210.207.87/jd.php?id=live1231
國家地理,http://8.210.207.87/jd.php?id=live1003
DISCOVERY,http://8.210.207.87/jd.php?id=live1002
旅遊生活,http://8.210.207.87/jd.php?id=live1005
動物星球,http://8.210.207.87/jd.php?id=live1004
亞洲旅遊,http://8.210.207.87/jd.php?id=live1219
Baby TV,http://8.210.207.87/jd.php?id=live1007
東森幼幼,http://8.210.207.87/jd.php?id=live1008
緯來綜合,http://8.210.207.87/jd.php?id=live1044
八大第一,http://8.210.207.87/jd.php?id=live1043
八大綜合,http://8.210.207.87/jd.php?id=live1019
三立臺灣,http://8.210.207.87/jd.php?id=live1021
三立都會,http://8.210.207.87/jd.php?id=live1020
衛視中文,http://8.210.207.87/jd.php?id=live1024
東森綜合,http://8.210.207.87/jd.php?id=live1041
超視,http://8.210.207.87/jd.php?id=live1180
中天綜合,http://8.210.207.87/jd.php?id=live1022
中天娛樂,http://8.210.207.87/jd.php?id=live1023
東風衛視,http://8.210.207.87/jd.php?id=live1195
MUCH TV,http://8.210.207.87/jd.php?id=live1189
東森戲劇,http://8.210.207.87/jd.php?id=live1042
八大戲劇,http://8.210.207.87/jd.php?id=live1057
緯來戲劇,http://8.210.207.87/jd.php?id=live1186
緯來戲劇,http://8.210.207.87/jd.php?id=live1086
龍華戲劇台,http://8.210.207.87/jd.php?id=live1009
龍華日韓劇,http://8.210.207.87/jd.php?id=live1010
龍華偶像劇,http://8.210.207.87/jd.php?id=live1235
緯來日本,http://8.210.207.87/jd.php?id=live1026
華視新聞資訊台,http://8.210.207.87/jd.php?id=live1238
年代新聞,http://8.210.207.87/jd.php?id=live1192
東森新聞,http://8.210.207.87/jd.php?id=live1014
中天新聞,http://8.210.207.87/jd.php?id=live1015
民視新聞,http://8.210.207.87/jd.php?id=live1204
三立新聞,http://8.210.207.87/jd.php?id=live1016
非凡新聞,http://8.210.207.87/jd.php?id=live1013
非凡商業,http://8.210.207.87/jd.php?id=live1012
東森財經,http://8.210.207.87/jd.php?id=live1017
寰宇新聞,http://8.210.207.87/jd.php?id=live1222
壹新聞,http://8.210.207.87/jd.php?id=live1242
CNBC,http://8.210.207.87/jd.php?id=live1063
Bloomberg News,http://8.210.207.87/jd.php?id=live1066
NHK世界,http://8.210.207.87/jd.php?id=live1228
衛視電影,http://8.210.207.87/jd.php?id=live1031
好萊塢電影,http://8.210.207.87/jd.php?id=live1025
緯來電影,http://8.210.207.87/jd.php?id=live1183
龍華電影台,http://8.210.207.87/jd.php?id=live1245
HBO,http://8.210.207.87/jd.php?id=live1029
AXN,http://8.210.207.87/jd.php?id=live1054
CINEMAX,http://8.210.207.87/jd.php?id=live1030
STAR MOVIES GOLD,http://8.210.207.87/jd.php?id=live1032
Star World,http://8.210.207.87/jd.php?id=live1040
緯來育樂,http://8.210.207.87/jd.php?id=live1045
緯來體育,http://8.210.207.87/jd.php?id=live1011
博斯運動一,http://8.210.207.87/jd.php?id=live1225
momo 綜合台,http://8.210.207.87/jd.php?id=live1248
ELEVEN SPORTS 1,http://8.210.207.87/jd.php?id=live1069
ELEVEN SPORTS 2,http://8.210.207.87/jd.php?id=live1072
animax,http://8.210.207.87/jd.php?id=live1060
TVBS歡樂台,http://8.210.207.87/jd.php?id=live1018
TVBS新聞台,http://8.210.207.87/jd.php?id=live1051
中視 HD,https://iptv543.com/xsj/xsj.php?id=ctv-hd
公視3台,https://iptv543.com/xsj/xsj.php?id=pts3
東森綜合台,https://iptv543.com/xsj/xsj.php?id=ebc-ettv
台視,https://iptv543.com/xsj/xsj.php?id=ttv
緯來日本,https://iptv543.com/xsj/xsj.php?id=videoland-japan
壹新聞 HD,https://iptv543.com/xsj/xsj.php?id=nexttv
台視新聞,https://iptv543.com/xsj/xsj.php?id=ttv-news
TVBS 歡樂台,https://iptv543.com/xsj/xsj.php?id=tvbs-huanle
東森電影,https://iptv543.com/xsj/xsj.php?id=ebc-movie
衛視電影台,https://iptv543.com/xsj/xsj.php?id=star-chinese-movies
龍祥電影台,https://iptv543.com/xsj/xsj.php?id=lstime
緯來電影台,https://iptv543.com/xsj/xsj.php?id=videoland-movie
美亞電影台,https://iptv543.com/xsj/xsj.php?id=meiah-movies
星衛娛樂台,https://iptv543.com/xsj/xsj.php?id=star-entetainment
Astro Awani,https://iptv543.com/xsj/xsj.php?id=astro-awani
緯來體育,https://iptv543.com/xsj/xsj.php?id=videoland-sport
ELEVEN體育-1,https://iptv543.com/xsj/xsj.php?id=eleven-sport1
ELEVEN體育-2,https://iptv543.com/xsj/xsj.php?id=eleven-sport2
Eurosports-1,https://iptv543.com/xsj/xsj.php?id=eurosports-1
ELTA體育-1,https://iptv543.com/xsj/xsj.php?id=elta-sport1
ELTA體育-3,https://iptv543.com/xsj/xsj.php?id=elta-sport3
國家地理 野生頻道,https://iptv543.com/xsj/xsj.php?id=natgeo-wild
動物星球頻道,https://iptv543.com/xsj/xsj.php?id=animal-planet
History-2 頻道,https://iptv543.com/xsj/xsj.php?id=history-2
TLC 旅遊生活頻道,https://iptv543.com/xsj/xsj.php?id=tlc
美食星球頻道,https://iptv543.com/xsj/xsj.php?id=food-planet
ABC News,https://iptv543.com/xsj/xsj.php?id=abc-news
BBC World News,https://iptv543.com/xsj/xsj.php?id=bbc-world-news
CNBC,https://iptv543.com/xsj/xsj.php?id=cnbc
東森幼幼台,https://iptv543.com/xsj/xsj.php?id=ebc-yoyo
Boomerang HD,https://iptv543.com/xsj/xsj.php?id=boomerang-hd
Animax卡通,https://iptv543.com/xsj/xsj.php?id=animax-cartoon




新聞頻道,#genre#
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
中天新聞,http://tv.redrainl.site:9500/live.m3u8?c=03
東森新聞 HD,http://211.23.114.106:8510/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森新聞 HD,http://www.terrykang.xyz:35455/youtube/S5WOGu2HSes
東森新聞 HD,https://epg.pw/stream/d6cad1cb0bdc2192885f5fb7689d8234c282c7f07401c1093a000ab83142bd95.m3u8
東森新聞台,http://8.210.207.87/jd.php?id=live1014
東森新聞,http://220.134.196.147:9531/http/116.50.42.18:8081/hls/63/805/ch10.m3u8
東森新聞,http://61.221.81.93:8078/hls/33/80/ebcnews.m3u8
東森新聞,http://198.16.100.90:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
東森新聞,http://198.16.100.90:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
東森新聞,http://50.7.238.114:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
東森新聞,http://50.7.238.114:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
東森新聞,http://50.7.238.98:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
東森新聞,http://50.7.238.98:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
壹電視新聞,http://220.134.196.147:8501/http/116.50.42.18:8088/hls/66/808/ch24.m3u8
壹電視新聞,http://123.51.230.124:8550/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
壹電視新聞,http://211.23.114.106:8505/http/61.221.81.94:8088/hls/66/808/ch24.m3u8?token=
壹電視新聞,http://dispatch.52glb.com/v/live/cfxwzsgnhnls.m3u8?stream_id=cfxwzsgnhnls&timestamp=1683695957&rand=1pqF8TQvZx&uuid=9b647b3816b2a66a&from=web&sign=21ebec17c316a163c1131e69f424bccc
壹電視新聞,http://60.251.59.180:8501/.m3u8
壹電視新聞,mitv://generationnexxxt.com:19806/6448e5fd0004b44d1e97391d4d2c0333
壹新聞HD,http://8.210.207.87/jd.php?id=live1242
東森財經,http://50.7.238.114:8278/ettvcaijing_twn/playlist.m3u8?tid=MB8B2069463920694639&ct=19249&tsum=05ff51a1b274ce7d31d05bbf11df18ad
非凡新聞,http://50.7.238.114:8278/feifannews_twn/playlist.m3u8?tid=MFDF6578546865785468&ct=19249&tsum=bbb5f2ee12e8ae89846875a83db08997
非凡新聞,http://198.16.100.90:8278/feifannews_twn/playlist.m3u8?tid=MFDF6578546865785468&ct=19249&tsum=bbb5f2ee12e8ae89846875a83db08997
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
中視新聞,http://198.16.100.90:8278/zhongshinews_twn/playlist.m3u8?tid=MAAA4459856044598560&ct=19193&tsum=1b7bdea69c00cd48e31f13442c75c376
中視新聞,http://198.16.100.90:8278/ca73a13c37/playlist.m3u8?tid=mee3f06f682eb&ct=18335&tsum=7491cceca17c1e2af05824583855f8bd
民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://198.16.100.90:8278/tvbs_n/playlist.m3u8?tid=MECE3233774032337740&ct=19225&tsum=47a22a993d8e9b29582dfde5631c78b0
三立新聞,http://125.227.210.55:35238/VideoInput/play.ts
三立NEWS+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
鏡新聞,http://tv.redrainl.site:9500/live.m3u8?c=28

戲劇頻道,#genre#
東森電影,http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
東森電影,http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
東森洋片,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=MA6A9686180296861802&ct=19193&tsum=79b2173b4455c70b50330eed478049a4
東森洋片,http://50.7.238.114:8278/ettvwestern/playlist.m3u8?tid=MC2C7134276471342764&ct=19225&tsum=4889d0c08d077336bd5066b912891aee
龍祥時代,http://198.16.100.90:8278/cb7a1fec69/playlist.m3u8?tid=md05ab4002297&ct=18335&tsum=ebe4254ee0e073c2d3c9789e679c00a5
龍祥時代,http://198.16.100.90:8278/cb7a1fec69/playlist.m3u8?tid=md05ab4002297&ct=18335&tsum=ebe4254ee0e073c2d3c9789e679c00a5
龍華洋片,http://50.7.238.114:8278/lunghuawestern_twn/playlist.m3u8?tid=MC1C3944472239444722&ct=19226&tsum=99c0c7c82e2fc48b16605865c3eaeb82
龍華洋片,http://50.7.238.114:8278/lunghuawestern_twn/playlist.m3u8?tid=MC1C3944472239444722&ct=19226&tsum=99c0c7c82e2fc48b16605865c3eaeb82
美亞電影,http://198.16.100.90:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亞電影,http://198.16.100.90:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亞電影,https://epg.pw/stream/f756fd481d421b861ac431717c303e200b697ff47eb789065645f8b61f67a264.m3u8
好萊塢電影,http://50.7.238.114:8278/hollywoodmovies_twn/playlist.m3u8?tid=MA8A4005638840056388&ct=18392&tsum=a1f1517d4ea64fd01267905f21d83859
好萊塢電影,http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8?tid=MD8D9429794794297947&ct=19193&tsum=fbe097bcbe37adad90e8bef964cac161
好萊塢電影,http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8?tid=MD8D9429794794297947&ct=19193&tsum=fbe097bcbe37adad90e8bef964cac161
AXN,http://50.7.238.114:8278/axn_twn/playlist.m3u8?tid=m1776995e9b3e16458394&ct=17874&tsum=b8a111d0b13c7761ce8b4e8f047adddb
AXN,http://198.16.100.90:8278/axn_twn/playlist.m3u8?tid=m1776995e9b3e16458394&ct=17874&tsum=b8a111d0b13c7761ce8b4e8f047adddb
AXN,http://198.16.100.90:8278/axn_twn/playlist.m3u8?tid=m1776995e9b3e16458394&ct=17874&tsum=b8a111d0b13c7761ce8b4e8f047adddb
CINEMAX,http://50.7.238.114:8278/cinemax_twn/playlist.m3u8?tid=MF6F1142326311423263&ct=19254&tsum=716939f2b6d75d0bb83a4c780e00dbd3
CINEMAX,http://50.7.238.114:8278/cinemax_twn/playlist.m3u8?tid=MF6F1142326311423263&ct=19254&tsum=716939f2b6d75d0bb83a4c780e00dbd3
CINEMAX,http://94.156.33.91:80/Cinemax/index.m3u8
HBOHD,http://50.7.238.114:8278/hbohd_twn/playlist.m3u8?tid=m8d785f4e022616401837&ct=17877&tsum=56e767abfc65234db52b017576b00403
HBOHD,http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=ME7E8473082984730829&ct=18392&tsum=acad12b7c208bda39b68dec98349e138
HBOHD,http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=ME7E8473082984730829&ct=18392&tsum=acad12b7c208bda39b68dec98349e138
HBO家庭,https://futuretoday-afv-family-2-be.samsung.wurl.tv/playlist.m3u8
HBO家庭,http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=m99b80124e3b4&ct=18337&tsum=73f6f540497de9a5615b9bd55bec8853
HBO家庭,http://198.16.100.90:8278/fyi_twn/playlist.m3u8?tid=m99b80124e3b4&ct=18337&tsum=73f6f540497de9a5615b9bd55bec8853
HBO原創,http://198.16.100.90:8278/hbosignature_twn/playlist.m3u8?tid=MD6D5767423357674233&ct=18392&tsum=995709f1100cf1b07964790160bfb4ee
HBO原創,http://198.16.100.90:8278/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
HBO強檔,http://50.7.238.114:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
HBO強檔,http://50.7.238.114:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
星衛電影,http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
星衛電影,http://198.16.100.90:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
東森戲劇,http://50.7.238.114:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7
東森戲劇,http://198.16.100.90:8278/ettvdrama/playlist.m3u8?tid=ME1E3883142638831426&ct=19225&tsum=12c87a5fab65a0ba071cebce86313f45
八大戲劇,http://50.7.238.114:8278/badadrama/playlist.m3u8?tid=MBCB2433143824331438&ct=19254&tsum=51660c351b3991d81434e43bd1ab720e
八大戲劇,http://198.16.100.90:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
八大第一,http://50.7.238.114:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一,http://198.16.100.90:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
龍華戲劇,http://50.7.238.114:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=m5c1b0bf1531015581628&ct=17874&tsum=2d2c4d6761fa92d63b97c0fe787007cb
龍華偶像,http://50.7.238.114:8278/lunghuaidol_twn/playlist.m3u8?tid=MB3B9268047492680474&ct=19234&tsum=792a8d573313f22d3bd8670148df20cb
龍華偶像,http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d21bf37719ff
三立戲劇,http://50.7.238.114:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
三立戲劇,http://198.16.100.90:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
愛爾達影劇,http://50.7.238.114:8278/eltadrama_twn/playlist.m3u8?tid=mea60e416943110603068&ct=17874&tsum=ede38d2a218a34b5397af9d19e0c39a3
愛爾達影劇,http://198.16.100.90:8278/eltadrama_twn/playlist.m3u8?tid=mea60e416943110603068&ct=17874&tsum=ede38d2a218a34b5397af9d19e0c39a3
緯來日本,rtmp://9sv1.mine.nu:1935/sat/tv771
緯來日本,http://50.7.238.114:8278/videolandjapan/playlist.m3u8?tid=MBAB7250273772502737&ct=19344&tsum=2b580b485643235654de4a1bbc9639cb
EYE戲劇,http://198.16.100.90:8278/eyetvxiju_twn/playlist.m3u8?tid=ME3E6686724066867240&ct=19254&tsum=728fc49fcd53cd770381ffd87883b1d1
EYE戲劇,http://50.7.238.114:8278/eyetvxiju_twn/playlist.m3u8?tid=ME3E6686724066867240&ct=19254&tsum=728fc49fcd53cd770381ffd87883b1d1

綜合頻道,#genre#
東森綜合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
東森綜合,http://50.7.238.114:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
東森綜合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
八大綜合,http://50.7.238.114:8278/badazhonghe/playlist.m3u8?tid=MC5C5422299054222990&ct=19193&tsum=8189d5b21bdeabdffa3d2b2cbeaae0ae
八大綜合,http://50.7.238.114:8278/badazhonghe/playlist.m3u8?tid=mfb8d64b6276514171054&ct=17874&tsum=a87466c997089ea7dce98cd17301667d
八大綜合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=mfb8d64b6276514171054&ct=17874&tsum=a87466c997089ea7dce98cd17301667d
八大第一,http://198.16.100.90:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
